,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,-0.027915919,0,-0.063044953,-0.000980354,0,-0.025702757,0,0,0,0,0,-0.017567297,0,0,0,0,0,0,0,0,0,-0.010502263,-0.021731445,0,-0.044729927,0,0,0,-0.00249936,0,0,0,0,-0.099715094,0,-0.080914362,0,0,0,-0.036698593,0.019740092,0,0,-0.012903741,-0.048026443,0,-0.026060144,0,0,0,0,0,0,0,0,0.016652308,0,0.04055822,0,0,0,0.016667354,0,0,0,0,0.031978498,0,0.103744572,-0.004612812,0,0,0.029680739,0,0,0,0,0.038304886,0,0.078742441,0,0,0,0.002485505,0,-0.019938074,0,0,0.016694078,0,0.128704002,0,0,0,0,-0.014683965,0,0,0,0,0,0,0,-0.015587292,0,-0.002197638,0,0,0,0
1,-0.057353315,0,-0.052842345,0,0,-0.029591898,0,0,0,0,0,-0.008581783,-0.008173231,-0.006142906,0,0,0,0,0,0,-0.003623823,0,-0.035448034,0,-0.046689785,0,0,0,-0.004628462,0,0,0,0,-0.075414432,0,-0.077839132,0,0,-0.00487691,-0.026148583,0.018509757,0,0,-0.022226274,-0.037077731,0,-0.014468753,-0.012252034,0,0,0,0,0,0,0,0.021884382,0,0.039767337,0,0,0,0.018531775,0,0,0,0,0.050169225,0,0.088046017,-0.002055856,0,0,0.006949422,0,0,0,0,0.0357787,0,0.054885252,0,0,0,0,0,-0.009953555,0,0,0.007335158,0,0.116245532,0,0,0,0,-0.008696906,0,0,0,0.0247114,0,0,0,-0.015692591,0,-0.000161855,0,0,0,0
2,-0.00700763,0,-0.055864807,0,0,-0.030051351,0,0,0,0,0,0,-0.011687424,-0.020637506,0,0,0,0,0,-0.00117001,-0.004917582,0,-0.059435034,0,-0.04546938,0,0,0,0,0,0,0,0,-0.068995956,0,-0.084418045,0,0,-0.011672848,-0.025271589,0.013080476,0,0,-0.033927986,-0.05469774,0,-0.010680785,0,0,0,0,0,0,0,0,0.039368646,0,0.045193296,0,0,0,0.022654033,0,0,0,0,0.058893827,0,0.098356087,-0.002836556,0,0,0.005530134,0.001305762,0,0,0,0.024353834,0,0.062892155,0,0,0,0,0,-0.009890049,0,0,0.011543679,0,0.121630338,0,0,0.003639614,0,-0.021753934,0,0,0,0.005635663,0,0,0,-0.016672502,0,-0.00957149,0,0,0,0
3,-0.035173426,0,-0.062961175,0,0,-0.022615976,-0.001975349,-0.006203462,0,0,0,0,0,-0.010552386,0,0,0,0,0,0,-0.007557805,0,-0.051634636,0,-0.018777443,0,0,0,0,0,0,0,0,-0.065829332,0,-0.076539796,0,0,-0.004799518,-0.035412279,0.010717569,0,0,-0.029331822,-0.051601413,0,-0.028093524,0,0,0,0,-0.000539382,0,0,0,0.027345443,0,0.037039814,0,0,0,0.013672606,0,0,0,0,0.035782248,0,0.119070349,-0.002894885,0,0,0.001135887,0,0,0,0,0.048061948,0,0.051815604,0,0,0,0,0,-0.020095706,0,0,0.019452497,0,0.114839432,0,0,0,0,-0.013708516,0,0,0,0,0,0,0,-0.011604501,0,-0.014175477,0,0,0,0
4,-0.036733162,0,-0.074420215,-0.004409317,0,-0.009980345,-0.000735007,0,0,0,0,-0.008213982,-0.006098446,-0.008471738,0,0,0,0,0,0,-0.010504743,0,-0.0460453,0,-0.049180243,0,0,0,0,0,0,0,0,-0.071557387,0,-0.073497918,0,0,0,-0.029969072,0.014351483,0,0,-0.032817898,-0.050972248,0,-0.021038037,0,0,0,0,0,0,0,0,0.037929231,0,0.054884799,0,0,0,0.022782858,0,0,0,0,0.063020135,0.009227488,0.08650996,-0.007112941,0,0,0.011748734,0,0,0,0,0.005184515,0,0.056883971,0,0,0,0,0,-0.016312292,0,0,0.016615411,0,0.115210133,0,0,0.009219898,0,-0.021249544,0,0,0,0.004535102,0,0,0,-0.004155523,0,-0.012500955,0,0.001022478,0,0
5,-0.039048845,0,-0.055290237,-0.002511158,0,-0.027189896,0,0,0,0,0,-0.021286298,-0.004031326,0,0,0,0,0,0,0,-0.010011626,0,-0.060600088,0,-0.037974283,0,0,0,0,0,0,0,0,-0.065388587,0,-0.081514667,0,0,0,-0.020657438,0.02171402,0,-0.004792131,-0.011794204,-0.04998701,0,-0.018771208,-0.015252984,0,0,0,0,0,0,0,0.032412041,0,0.049530923,0,0,0.007104455,0.0191553,0,0,0,0,0.047751073,0,0.078324001,-0.00386005,0,0,0.006853253,0,0,0,0,0.033675553,0,0.068670155,0,0,0,0.004589164,0,-0.007382984,0,0,0.01367316,0,0.123928075,0,0,0.005363645,0,0,0,0,0,0,-0.01181579,0,0,0,0,-0.002279536,0,0,0,0
6,-0.047732015,0,-0.056616727,0,0,-0.029409506,0,0,0.000568398,0,0,0,0,-0.017970944,0,0,0,0,0,0,-0.000672331,0,-0.035537265,0,-0.050896911,0,0,0,0,0,0,0,0,-0.072990474,0,-0.075783362,0,0,-0.001267492,-0.037664351,0.008853693,0,0,-0.013720792,-0.039707115,0,-0.02541612,-0.003827626,0,0,0,-0.004055955,0,0,0,0.023578259,0,0.039603037,0,0,0,0.030677696,0,0,0,0,0.046110596,0.000699136,0.116130473,-0.017242951,0,0,0.010900624,0,0,0,0,0.031458915,0,0.061343709,0,0,0,0.005663777,0,-0.01294202,0,0,0.017854901,0,0.122041064,0,0,0,0,-0.010543951,0,-0.001982619,0,0,0,0,0,-0.016712971,0,0,0,0,0,0
7,-0.040635297,0,-0.071494605,-0.005610486,0,-0.010482537,0,0,0,0,0,-0.005733168,0,-0.00728165,0,0,0,0,0,0,-0.00274039,0,-0.036609577,0,-0.047734734,0,0,0,0,0,0,0,0,-0.060512698,0,-0.081314474,0,0,-0.004049707,-0.027022332,0.027333099,0,0,0,-0.072402674,0,-0.01196376,0,0,0,0,0,0,0,0,0.032135147,0,0.033836129,0,0,0,0.005695741,0,0,0,0,0.053682014,0.020711467,0.080995454,-0.013034619,0,0,0.003658625,4.80E-05,0,0,0,0.045491484,0,0.05821898,0,0,0,0,0,-0.015838269,0,0,0.007333574,0,0.11883982,0,0,0.005524317,0,-0.013392004,0,0,0,0.01271591,-0.008326997,0,0,0,0,-0.011992399,0,0,0,0
8,-0.055686829,0,-0.059900021,-0.003850079,0,-0.031272995,-0.005368528,0,0,0,0,0,0,-0.008508957,0,0,0,0,0,0,0,-0.003613667,-0.030975777,0,-0.052257955,0,0,0,-0.000846921,0,0,0,0,-0.063415612,0,-0.083994975,0,0,0,-0.023162556,0.026283132,0,0,-0.012673008,-0.064010718,0,-0.010792521,0,0,0,0,0,0,0,0,0.026895364,0,0.041929399,0,0,0,0.015911775,0,0,0,0,0.060994549,0,0.108405448,-0.001765717,0,0,0.016540763,0,0,0,0,0.02582669,0,0.057332066,0,0,0,0.008462806,0,-0.011379715,0,0,0.010514269,0,0.125789541,0,0,0,0,-0.006716467,0,0,0,0,0,0,0,0,0,-0.005103618,0,0,0,0
9,-0.041184673,0,-0.052373941,0,0,-0.032125619,-0.00826114,0,0,0,0,-0.017118331,-0.006236643,-0.005792189,0,0,0,0,0,0,0,0,-0.036350004,0,-0.054419051,0,0,0,0,0,0,0,0,-0.071598916,0,-0.079945889,0,0,0,-0.024316633,0.002952247,0,0,-0.037359246,-0.055556646,0,-0.017246573,0,0,0,0,0,0,0,0,0.052973094,0,0.032696273,0,0,0,0.016099412,0,0,0,0,0.04389306,0,0.109409882,-0.017269231,0,0,0.002355594,0,0,0,0,0.0488927,0,0.039492493,0,0,0,0.006194519,0,-0.006150116,0,0,0,0,0.117736509,0,0,0.011583367,0,-0.013150828,0,0,0,0.008564007,0,0,0,-0.006814834,0,-0.005288305,0,0.002407418,0,0
