Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Zilean,114,121,8%,57,57,50%,4.6,6.8,31:58:00,4.4,232,289,-5.6,-249,197
Lucian,107,89,6%,53,54,50%,3.3,4.9,32:03:00,9,504,428,6.4,88,0
Fiora,74,114,6%,40,34,54%,2.7,5.1,31:00:00,8.3,473,406,3.2,67,8
Seraphine,88,98,6%,50,38,57%,5.3,4.3,32:00:00,6.9,367,358,-7.4,-316,-179
Nidalee,59,123,6%,27,32,46%,4,3.2,33:08:00,6.5,463,372,8,480,375
Azir,97,66,5%,42,55,43%,2.9,7,33:02:00,8.8,549,399,3.3,38,126
Ziggs,79,67,5%,31,48,39%,3.5,5.4,33:06:00,8.7,675,405,-6.7,-214,-15
Rell,97,48,5%,50,47,52%,2.7,6.5,31:39:00,1.1,132,235,1.9,-13,-75
RekSai,72,62,4%,29,43,40%,2.1,5,31:12:00,5.5,310,345,0.4,220,33
Tristana,95,35,4%,33,62,35%,2.8,7.4,31:20:00,9,456,432,0.1,127,104
Olaf,68,59,4%,36,32,53%,2.6,7,32:36:00,5.9,353,346,12.2,226,258
Karthus,34,92,4%,16,18,47%,2.8,2.9,32:13:00,7.7,763,411,9.4,19,416
Samira,50,65,4%,24,26,48%,2.8,4.5,30:36:00,8.6,461,429,-0.7,190,99
Yone,57,57,4%,33,24,58%,2.9,5.6,31:04:00,8.9,430,431,0.3,138,210
Pyke,53,47,3%,30,23,57%,2.7,6.4,32:59:00,1.6,189,304,4.6,462,13
Urgot,41,52,3%,17,24,41%,2.5,6,32:08:00,8.3,395,401,0.5,-71,81
Xerath,43,48,3%,15,28,35%,3.8,6.3,33:40:00,7.7,757,385,-5.2,13,-35
Wukong,59,28,3%,27,32,46%,2.2,8.2,32:47:00,7.1,356,359,-5.7,-404,-91
Blitzcrank,52,29,3%,30,22,58%,2.6,7.4,31:22:00,1.1,167,240,1.7,25,-21
Talon,28,50,3%,13,15,46%,2.4,4.5,32:04:00,7,384,381,-1.6,-362,20
Nami,57,17,2%,28,29,49%,4.3,7.4,32:26:00,0.6,184,242,-11.3,-63,153
Janna,34,39,2%,14,20,41%,3.6,6,34:19:00,0.7,80,230,-36.3,-857,-1138
Rumble,32,41,2%,19,13,59%,3.6,5.6,31:15:00,6.9,586,378,11,598,512
Udyr,57,16,2%,22,35,39%,2.3,5.4,30:56:00,6.5,219,347,18.2,193,452
Qiyana,31,42,2%,13,18,42%,3,3.6,33:32:00,6.5,455,375,1.2,41,120
Draven,25,43,2%,13,12,52%,4,5.2,33:52:00,8.5,575,474,10.5,729,297
Kassadin,21,47,2%,11,10,52%,4.7,5.6,32:53:00,8.7,588,425,-4.7,-179,29
