Ranking,,Tier,LP
785,kusMnolE,Grandmaster,335
786,새우깡기룩,Grandmaster,335
787,금방1,Grandmaster,334
788,zxckasok,Grandmaster,334
789,98kmi,Grandmaster,334
790,bbb5,Grandmaster,333
791,두통 멈춰,Grandmaster,333
792,제리고수 강제리,Grandmaster,333
793,새하얀 thigh,Grandmaster,333
794,98kmi,Grandmaster,334
795,Sereno,Grandmaster,333
796,haipiniuyier,Grandmaster,332
797,피망 고기채,Grandmaster,332
798,Only A Fool,Grandmaster,332
799,xiang qianjin,Grandmaster,332
800,Tiger Den,Grandmaster,332
801,신지테,Grandmaster,332
802,NiHuiZaiNaNeIlI,Grandmaster,331
803,젠지 가습기도둑,Grandmaster,331
804,Brrain,Grandmaster,331
805,강의듀오코코팀,Grandmaster,330
806,팽신견,Grandmaster,330
807,scy19980304,Grandmaster,329
808,물방울석입,Grandmaster,329
809,Hang in buddy,Grandmaster,328
810,cainiao4hao,Grandmaster,328
811,KujoMiki,Grandmaster,328
812,나 돈코 내밑만기,Grandmaster,328
813,alasseo,Grandmaster,327
814,dccc,Grandmaster,326
815,Mei Tian Kun,Grandmaster,326
816,happy game,Grandmaster,326
817,l m not afraid,Grandmaster,325
818,효명고등학교,Grandmaster,325
819,level,Grandmaster,325
820,Make It Rea1,Grandmaster,324
821,k범진k,Grandmaster,324
822,numanihamaru,Grandmaster,323
823,SnowFlow2r,Grandmaster,322
824,마석누런펭귄,Grandmaster,322
825,건 망,Grandmaster,321
826,구글 이블린팀COM,Grandmaster,321
827,SB TOP SRY,Grandmaster,321
828,매일 어떻게 잘해,Grandmaster,320
829,DOK SA,Grandmaster,320
830,wobumingbai1,Grandmaster,319
831,wulongcha,Grandmaster,319
832,PuIse,Grandmaster,319
833,숨 고르기,Grandmaster,318
834,트위치티비호붕이,Grandmaster,318
835,xihuan daye,Grandmaster,318
836,불멸의무빙,Grandmaster,318
837,Toby Dreamditch,Grandmaster,318
838,NOWA,Grandmaster,317
839,1처형 900골드,Grandmaster,317
840,뷔브이,Grandmaster,316
841,믜 진,Grandmaster,315
842,간디도롤하면폭력,Grandmaster,315
843,U Han,Grandmaster,315
844,chimin님,Grandmaster,315
845,T1 Yuto,Grandmaster,315
846,IAKIL,Grandmaster,314
847,bing bing jiang,Grandmaster,313
848,란셀러,Grandmaster,313
849,2002 Pooky,Grandmaster,312
850,살티레,Grandmaster,312
851,RoLLin77,Grandmaster,312
852,rladbfh,Grandmaster,312
853,병 굴,Grandmaster,312
854,ADKLNG GOD,Grandmaster,311
855,zhh,Grandmaster,311
856,늙고 병든 용진이,Grandmaster,311
857,탑 가엔싸개,Grandmaster,311
858,piglo,Grandmaster,310
859,tianzhijiaozi,Grandmaster,310
860,Griffith,Grandmaster,310
861,fa mid,Grandmaster,309
862,다미웡,Grandmaster,309
863,처피뱅 카와이,Grandmaster,309
864,이 쁜 채 팅,Grandmaster,308
865,막내현진구름 fan,Grandmaster,308
866,krats aira,Grandmaster,308
867,탑만가는인생,Grandmaster,307
868,verus pruina,Grandmaster,307
869,nemui zz,Grandmaster,306
870,쓸데없는채팅혐오,Grandmaster,306
871,개빡친 강주찬,Grandmaster,306
872,AritirA,Grandmaster,306
873,qezc,Grandmaster,305
874,kam1satoayaka,Grandmaster,305
875,생각보다강하군,Grandmaster,305
876,상사일념,Grandmaster,304
877,adbaszdskdkdsha,Grandmaster,304
878,우산하리보,Grandmaster,304
879,용과호랑이용,Grandmaster,304
880,트위치 백색말,Grandmaster,304
881,고민이 많아,Grandmaster,304
882,중수정글러,Grandmaster,303
883,Rio Leon,Grandmaster,303
884,블리츠크랭크,Grandmaster,303
885,eat me do,Grandmaster,302
886,qwedsazxcv,Grandmaster,302
887,102351604del,Grandmaster,302
888,qwertyuiopzxcv,Grandmaster,302
889,팀에 벽 느낌,Grandmaster,302
890,토끼는우사기,Grandmaster,302
891,Q shen,Grandmaster,301
892,안녕 나는 동규얌,Grandmaster,301
893,kldeu,Grandmaster,301
894,프로겐,Grandmaster,301
895,그냥 미워요,Grandmaster,300
896,hyunwookleeC,Grandmaster,300
897,우연이 영원히,Grandmaster,300
898,아는척자제,Grandmaster,300
899,레넥톤 장인,Grandmaster,299
900,잠꾸러긔,Grandmaster,299
901,최기명,Grandmaster,297
902,JD fans,Grandmaster,297
903,고래 칭찬하는,Grandmaster,297
904,행복했을까,Grandmaster,297
905,렁 재,Grandmaster,297
906,바 드 본 좌,Grandmaster,297
907,별의연인,Grandmaster,297
908,볼 살,Grandmaster,297
909,민이누나 예쁘다,Grandmaster,296
910,lztxljjianiaijia,Grandmaster,296
911,동국대 조경과,Grandmaster,296
912,시르삼,Grandmaster,296
913,현타온 벙댕이,Grandmaster,296
914,come on and win,Grandmaster,295
915,OMG COLD,Grandmaster,295
916,Marigold Petal,Grandmaster,295
917,마음것와봐라,Grandmaster,295
918,군바리의솔랭,Grandmaster,295
919,JGKING,Grandmaster,294
920,20050726정글,Grandmaster,294
921,전령 도우미,Grandmaster,294
922,프리즘스톤,Grandmaster,294
923,Jiababe12,Grandmaster,293
924,물방울,Grandmaster,293
925,듀 월,Grandmaster,293
926,SiDE xX,Grandmaster,292
927,노틸러스서폿,Grandmaster,292
928,LIVENKING,Grandmaster,292
929,달인 카직스,Grandmaster,292
930,댕실댕실이,Grandmaster,292
931,tybaby,Grandmaster,291
932,bluee,Grandmaster,291
933,07년생 티모장인,Grandmaster,291
934,riteleader,Grandmaster,291
935,우우리,Grandmaster,291
936,https www,Grandmaster,290
937,dryfIower,Grandmaster,290
938,XiA young,Grandmaster,290
939,나는팀원들이밉다,Grandmaster,290
940,이강뚝,Grandmaster,290
941,gmoa,Grandmaster,290
942,쌔 DI,Grandmaster,290
943,아침형인간9,Grandmaster,290
944,gtrew,Grandmaster,289
945,카시버프좀요,Grandmaster,289
946,전적검색좀하지마,Grandmaster,289
947,룰루랄라룰루랄리,Grandmaster,289
948,Witt Zoe,Grandmaster,288
949,Lelitz,Grandmaster,288
950,렐복치,Grandmaster,288
951,예진냥이,Grandmaster,288
952,피라미드꼭대기,Grandmaster,288
953,욤 네,Grandmaster,287
954,RlVEN king,Grandmaster,286
955,을려대써 싸이렌,Grandmaster,286
956,불타버린 발바닥,Grandmaster,286
957,Ekal,Grandmaster,286
958,CREE,Grandmaster,285
959,zCAMILEKINGz,Grandmaster,285
960,시계왕,Grandmaster,285
961,L1ps,Grandmaster,284
962,Chronovisor,Grandmaster,282
963,틀니의호흡 제1딱,Grandmaster,282
964,be meo,Grandmaster,280
965,wobulijie,Grandmaster,280
966,미소짓게만드는법,Grandmaster,277
967,젤라또 푸딩,Grandmaster,276
968,KT Castlee,Grandmaster,275
969,Crash9,Grandmaster,274
970,pdfgh,Grandmaster,274
971,pjtL1,Grandmaster,271
972,xuyaoreliang,Grandmaster,271
973,재밌는 챔 함,Grandmaster,268
974,잼 비,Grandmaster,264
975,야스오 요네 제드 리신 비에고,Grandmaster,262
976,콩팥강도,Grandmaster,262
977,갈망갈망갈망갈망,Grandmaster,261
978,꼬마딩구리,Grandmaster,261
979,GKJY wenmin,Grandmaster,259
980,IG YSKM,Grandmaster,257
981,별사탕이좋아요,Grandmaster,257
982,BT Dosa,Grandmaster,256
983,SuperFurryFusion,Grandmaster,256
984,easy for u,Grandmaster,252
985,달달하구여,Grandmaster,252
986,N1na7mi,Grandmaster,251
987,미스포츈외길인생,Grandmaster,250
988,허허맨,Grandmaster,243
989,잃고싶지 않아제,Grandmaster,238
990,guaiguai tinghua,Grandmaster,237
991,Daye2,Grandmaster,236
992,daniao boy,Grandmaster,231
993,조광희1,Grandmaster,226
994,인생걸고태호시티,Grandmaster,225
995,Nation Blue,Grandmaster,217
996,RyRbb,Grandmaster,215
997,lovelinessyuki,Grandmaster,214
998,나는이륙할것이다,Grandmaster,200
999,NS Carim,Grandmaster,195
1000,수 직,Grandmaster,190
