Ranking,,Tier,LP
190,zcxadfst,Challenger,658
191,Pungyeonn,Challenger,656
192,bailanadno1,Challenger,656
193,호랑이는공룡알,Challenger,654
194,BRO Hena,Challenger,654
195,adc on1y,Challenger,653
196,폼 팡,Challenger,653
197,제드팀 구글 검색,Challenger,652
198,86 zhendewudi,Challenger,652
199,구글 롤 코코팀,Challenger,651
200,부리부리웰시코기,Challenger,651
201,Ninja33,Challenger,649
202,zisu,Challenger,648
203,lieguo,Challenger,646
204,tianqileng,Challenger,646
205,레전드오브롤1244,Challenger,645
206,RinNyang,Challenger,645
207,cryscata,Challenger,645
208,Recall99,Challenger,644
209,콘치즈마싯어,Challenger,644
210,kukukukuku,Challenger,643
211,whisper snow,Challenger,643
212,몰랐던,Challenger,642
213,난화내,Challenger,641
214,UijU,Challenger,640
215,그체연락친추주셈,Challenger,637
216,wisls,Challenger,637
217,열심히해볼생각,Challenger,637
218,농심 바이탈,Challenger,636
219,Uneasy12,Challenger,635
220,FA Na Kyung,Challenger,634
221,xiao cai niao,Challenger,633
222,jingjingDebaba,Challenger,632
223,GGGori,Challenger,632
224,UCAL,Challenger,632
225,은아 예쁘다,Challenger,631
226,청포도육포,Challenger,630
227,Clever9,Challenger,630
228,E T E R N U M l,Challenger,629
229,DK ShowMaker,Challenger,629
230,Migungzz,Challenger,627
231,wu tiao jian,Challenger,626
232,구운몽임,Challenger,626
233,NS HH,Challenger,625
234,하얗고예쁨,Challenger,625
235,FPX q2380023067g,Challenger,624
236,Honp1,Challenger,624
237,Neth3rworld,Challenger,624
238,fvck yu,Challenger,623
239,쫌비킹,Challenger,623
240,pOnYtAiLmAN,Challenger,621
241,Iove poppy,Challenger,620
242,어리고싶다,Challenger,620
243,PKMNtrainerRed,Challenger,619
244,광연4,Challenger,619
245,율자주세요,Challenger,619
246,Lehends,Challenger,617
247,Look to Sky,Challenger,616
248,아이엔브이유,Challenger,615
249,hennanbubai,Challenger,615
250,aaaaaaaaaaaq,Challenger,612
251,T1 Smash1,Challenger,612
252,18세 기모진,Challenger,612
253,트루 러버,Challenger,612
254,not worth it,Challenger,612
255,PowderSn0w,Challenger,612
256,파 고,Challenger,612
257,Hide on bush,Challenger,612
258,뉘셰핑,Challenger,611
259,펭귄빙산추락,Challenger,611
260,zhong men dui ju,Challenger,610
261,어떡해 1997,Challenger,609
262,조이현내누나,Challenger,609
263,무조건이겨야함,Challenger,609
264,숙제하기시러요,Challenger,609
265,NEED HER,Challenger,608
266,Yagao12,Challenger,607
267,Lumen AD,Challenger,607
268,Aileri,Challenger,606
269,사랑하지 않아,Challenger,606
270,직스 좀 믿어줘,Challenger,606
271,iiliilliiIIi,Challenger,604
272,opasdwqexz,Challenger,603
273,Yuukika,Challenger,601
274,Indexy,Grandmaster,701
275,HLE Bola,Challenger,601
276,NekoL,Challenger,599
277,HLE OnFleek,Challenger,598
278,cong qian man,Challenger,597
279,땅에 묻히다,Challenger,597
280,지훈백크,Challenger,597
281,1달안에챌린저,Challenger,595
282,엉덩국 갱승제로,Challenger,595
283,Bearduck,Challenger,593
284,트위치김수당,Challenger,593
285,hao yun lai 7,Challenger,592
286,더블큐티준서버거,Challenger,592
287,manmanO,Challenger,588
288,강하다 별,Challenger,588
289,Samver,Challenger,586
290,bao9,Challenger,586
291,E dal,Challenger,586
292,rainyday1111,Challenger,584
293,아이유는 내꺼야,Challenger,584
294,사막여우겨울나기,Challenger,581
295,LSB TA K ON,Challenger,580
296,kaaanavi,Grandmaster,677
297,asd01234,Challenger,573
298,일몰수정,Challenger,569
299,호잇이,Challenger,542
300,Nierland,Grandmaster,636
301,New year2022,Challenger,534
302,CARFE,Grandmaster,626
303,노력 끈기 집중,Challenger,523
304,IlllIIIIlIIlIlII,Grandmaster,623
305,oilf3,Grandmaster,617
306,Feistyy,Grandmaster,614
307,BroccoliYouToo1,Challenger,512
308,zcqwdaqws,Grandmaster,612
309,yaoyaoxiaokeai,Grandmaster,604
310,순뀨박,Grandmaster,602
311,anjingdayouxi,Grandmaster,602
312,Tangyuando,Grandmaster,601
313,mpljlrpajkkl,Grandmaster,601
314,Map1eStory275Lv,Grandmaster,599
315,natsunoomoide,Grandmaster,597
316,노정택,Grandmaster,594
317,61110002,Grandmaster,591
318,nimamazhendu0,Grandmaster,591
319,초보원딜러,Grandmaster,589
320,Hu Piao Liang,Grandmaster,587
321,eehh,Grandmaster,585
322,바밤밧,Grandmaster,583
323,여주월,Grandmaster,580
324,헤이스트,Grandmaster,579
325,zxcvkwerty,Grandmaster,577
326,메로나마싯다,Grandmaster,577
327,bilibili24400071,Grandmaster,577
328,박 구 원,Grandmaster,575
329,su yi ming,Grandmaster,573
330,XiaoHuaSheng7,Grandmaster,572
331,Iove u,Grandmaster,571
332,Cracker1,Grandmaster,570
333,Zrs,Grandmaster,570
334,그냥 죽여놓을게,Grandmaster,569
335,xiaoohao,Grandmaster,568
336,climber climber,Grandmaster,568
337,쌍쌍바 반띵하자,Grandmaster,567
338,kkaammm,Grandmaster,566
339,소년가장 원딜,Grandmaster,566
340,lanmeihaochi,Grandmaster,565
341,Fatty,Grandmaster,565
342,평정심을 잃지마,Grandmaster,565
343,asdasdfdafqw,Grandmaster,564
344,2019 2018,Grandmaster,562
345,짱구철수훈이유리,Grandmaster,562
346,꿀잼사과잼,Grandmaster,562
347,gnaixnay,Grandmaster,558
348,sbshangdan,Grandmaster,558
349,T1 Poby,Grandmaster,557
350,꿀단지3,Grandmaster,556
351,Refrainment,Grandmaster,556
352,몹시 언짢음,Grandmaster,556
353,hyc0505,Grandmaster,554
354,xxxxxxxxxm1,Grandmaster,554
355,sksqnf,Grandmaster,554
356,버기해적단 버기,Grandmaster,552
357,DRX 홍창현,Grandmaster,550
358,TTAsusu,Grandmaster,548
359,오리지널찰떡쿠키,Grandmaster,548
360,HLE Karis1,Grandmaster,546
361,갱플랭크,Grandmaster,545
362,Dont be arrogant,Grandmaster,544
363,패배를까먹은사람,Grandmaster,544
364,원딜 바보 이채환,Grandmaster,542
365,Seulgi mozzi,Grandmaster,541
366,Kingen,Grandmaster,539
367,Wilder,Grandmaster,538
368,해강고 원딜,Grandmaster,537
369,Hegforelly,Grandmaster,536
370,구I두라미,Grandmaster,536
371,무서워하다20,Grandmaster,534
372,T1 Roach,Grandmaster,532
373,1.97489E+15,Grandmaster,531
374,듀오강의코코팀,Grandmaster,531
375,QAQAQAQAQAQ,Grandmaster,530
376,Unknown Surf,Grandmaster,530
377,Hang ln there,Grandmaster,528
378,Carousel,Grandmaster,526
379,VAVAVAVAVA,Grandmaster,525
380,대야웰백,Grandmaster,525
381,Destiny,Grandmaster,525
382,LVLVLVLVLVLV,Grandmaster,524
383,watdoesthefoxsay,Grandmaster,523
384,kx OvO,Grandmaster,523
385,wybaby,Grandmaster,523
386,buzhesuimu,Grandmaster,522
387,돌이킬 수 있는,Grandmaster,521
388,심찬규,Grandmaster,520
389,특수교육 전공,Grandmaster,520
390,FPX q2380023067e,Grandmaster,518
391,옥모화안,Grandmaster,518
392,군고구마초록매실,Grandmaster,516
393,bu sh1 ben ren,Grandmaster,516
394,화려하게 살거야,Grandmaster,516
395,fangqing,Grandmaster,515
396,일상이 이상해요,Grandmaster,515
397,Juhana,Grandmaster,515
398,Enosh,Grandmaster,515
399,변함없는중국인들,Grandmaster,515
400,돼지 서폿,Grandmaster,514
401,Lovely jiwon XD,Grandmaster,514
402,Mg mid,Grandmaster,513
403,Gon123,Grandmaster,512
404,Fantasy Moon,Grandmaster,511
405,kamaru,Grandmaster,511
406,KT VicLa,Grandmaster,510
407,yueqianlongma,Grandmaster,509
408,LastBloodShen,Grandmaster,509
409,우이우아아팅탱,Grandmaster,508
410,펜니르,Grandmaster,508
411,ci jian wu sheng,Grandmaster,506
412,도전전문유튜버,Grandmaster,506
413,Gen G VVinner,Grandmaster,506
414,꿀벌호빗,Grandmaster,506
415,duckling,Grandmaster,503
416,이성죠,Grandmaster,503
417,FA Decky,Grandmaster,501
418,나도모르는사이에,Grandmaster,499
419,간다라쿤다,Grandmaster,499
420,Lpc123,Grandmaster,497
421,bieshimian,Grandmaster,497
422,CCwhitte,Grandmaster,497
423,푸쿠이,Grandmaster,496
